"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Jeff Smith","NYJ","0.4","4.8","0.0","0.0","0.1","0.0","0.0","0.8"
"Miles Boykin","BAL","0.4","5.3","0.0","0.0","0.0","0.0","0.0","0.8"
"Christian Blake","ATL","0.4","4.7","0.0","0.0","0.1","0.0","0.0","0.8"
"Alex Erickson","HOU","0.4","4.8","0.0","0.0","0.0","0.0","0.0","0.8"
"Devin Funchess","GB","0.4","5.5","0.0","0.0","0.0","0.0","0.0","0.8"
"Ray-Ray McCloud","PIT","0.4","4.0","0.0","0.1","0.4","0.0","0.0","0.7"
"Isaiah Ford","MIA","0.4","3.8","0.0","0.0","0.0","0.0","0.0","0.7"
"Cameron Batson","TEN","0.3","3.7","0.0","0.0","0.0","0.0","0.0","0.6"
"Seth Williams","DEN","0.4","4.4","0.0","0.0","0.1","0.0","0.0","0.6"
"Kelvin Harmon","WAS","0.4","4.4","0.0","0.0","0.0","0.0","0.0","0.6"
"Cordarrelle Patterson","ATL","0.3","2.5","0.0","0.3","1.3","0.0","0.0","0.6"
"Tutu Atwell","LAR","0.3","3.9","0.0","0.0","0.1","0.0","0.0","0.5"
"Tajae Sharpe","ATL","0.2","3.1","0.0","0.0","0.0","0.0","0.0","0.5"
"Dez Fitzpatrick","TEN","0.3","3.7","0.0","0.0","0.1","0.0","0.0","0.5"
"Chris Hogan","NO","0.2","3.0","0.0","0.0","0.0","0.0","0.0","0.5"
"Anthony Schwartz","CLE","0.3","3.4","0.0","0.0","0.1","0.0","0.0","0.5"
"Cam Sims","WAS","0.2","3.2","0.0","0.0","0.0","0.0","0.0","0.5"
"Lil'Jordan Humphrey","NO","0.2","2.7","0.0","0.0","0.0","0.0","0.0","0.4"
"KeeSean Johnson","ARI","0.2","2.4","0.0","0.0","0.0","0.0","0.0","0.4"
"Gunner Olszewski","NE","0.2","2.2","0.0","0.0","0.2","0.0","0.0","0.4"
"Victor Bolden Jr.","DET","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Diontae Spencer","DEN","0.1","1.4","0.0","0.1","0.4","0.0","0.0","0.3"
"Greg Dortch","ARI","0.1","1.7","0.0","0.0","0.0","0.0","0.0","0.3"
"Trent Taylor","CIN","0.1","1.5","0.0","0.0","0.0","0.0","0.0","0.3"
"Marcus Johnson","TEN","0.1","1.5","0.0","0.0","0.0","0.0","0.0","0.3"
"Allen Hurns","MIA","0.1","1.5","0.0","0.0","0.0","0.0","0.0","0.3"
"Kalif Raymond","DET","0.1","1.7","0.0","0.0","0.0","0.0","0.0","0.3"
"Simi Fehoko","DAL","0.2","1.9","0.0","0.0","0.0","0.0","0.0","0.3"
"Chester Rogers","TEN","0.1","1.4","0.0","0.0","0.0","0.0","0.0","0.3"
"Zay Jones","LV","0.1","1.3","0.0","0.0","0.0","0.0","0.0","0.3"
"Demetric Felton","CLE","0.1","1.8","0.0","0.0","0.0","0.0","0.0","0.3"
"Riley Ridley","CHI","0.1","1.5","0.0","0.0","0.0","0.0","0.0","0.2"
"Damiere Byrd","CHI","0.1","1.5","0.0","0.0","0.0","0.0","0.0","0.2"
"David Moore","CAR","0.1","1.7","0.0","0.0","0.1","0.0","0.0","0.2"
"Malcolm Perry","MIA","0.1","0.7","0.0","0.1","0.5","0.0","0.0","0.2"
"Dazz Newsome","CHI","0.1","1.3","0.0","0.0","0.0","0.0","0.0","0.2"
"Mike Thomas","CIN","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Terry Godwin","JAC","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Juwan Johnson","NO","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.2"
"J.J. Arcega-Whiteside","PHI","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Chad Beebe","MIN","0.1","0.9","0.0","0.0","0.0","0.0","0.0","0.2"
"Brandon Powell","BUF","0.1","0.9","0.0","0.0","0.0","0.0","0.0","0.2"
"Ihmir Smith-Marsette","MIN","0.1","1.1","0.0","0.0","0.0","0.0","0.0","0.2"
"Travis Benjamin","SF","0.1","0.9","0.0","0.0","0.0","0.0","0.0","0.1"
"Equanimeous St. Brown","GB","0.1","0.7","0.0","0.0","0.0","0.0","0.0","0.1"
"Nick Westbrook-Ikhine","TEN","0.1","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Braxton Berrios","NYJ","0.1","0.8","0.0","0.0","0.0","0.0","0.0","0.1"
"Kendall Hinton","DEN","0.1","0.6","0.0","0.0","0.2","0.0","0.0","0.1"
"Trey Quinn","LV","0.1","0.7","0.0","0.0","0.0","0.0","0.0","0.1"
"Jaelon Darden","TB","0.1","0.7","0.0","0.0","0.0","0.0","0.0","0.1"
"Joe Reed","LAC","0.1","0.6","0.0","0.0","0.2","0.0","0.0","0.1"
"Matt Cole","NYG","0.1","0.6","0.0","0.0","0.1","0.0","0.0","0.1"
"Quez Watkins","PHI","0.1","0.7","0.0","0.0","0.0","0.0","0.0","0.1"
"DeMichael Harris","IND","0.0","0.5","0.0","0.0","0.1","0.0","0.0","0.1"
"Damion Ratley","DET","0.1","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Mack Hollins","MIA","0.1","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
